komentar_clean,predicted_label
ga ru da ho ki terpopuler masakini hati_merah langsung jepe,1
kacau si ini pedesnya tapi ngiler juga si liat nya,0
ga ru da ho ki꧂gacorr parahh,1
ga ru da ho ki꧂sponsor resmi pubg,1
【﻿çärì ðì gööglè 】 【﻿lazadatoto 】 api api bikin gue selalu stay positif karena gacornya,1
ga ru da ho ki꧂member baru pasti jepee,1
lah bas perasaan lu punya pacar pas di taiwan,0
gila ini kontenmu upgrade banget bahkan sempet kepikiran PST0T099 gara gara tone videonya mirip vibe yang sering aku lihat,1
komen,0
ga ru da ho ki menang lebih mudah hati_merah langsung jepe,1
1,0
ban te ng ho ki terpopuler masakini hati_kuning langsung jepe,1
jempol_ke_atas,0
perut lagi lagi dompet bg udh bg moai wajah_menangis_keras,0
19 34 sus banget tuh,1
sorry aku gapernah skip nonton smua video yg kamu up ko tapi jujur aku ga nyaman bgt ngeliat cara kamu makan ko ok kalo sharing tp jangan smpe ada sesuatu jatuh mengalir di atas makanan yg nanti mau di makan temen2 mu ga sih pasti kamu paham cara makan yg bener lah ya ko,0
tongseng bu soleh,0
setuju banget kalau kak bas cari macha ter enak di mall terbesar di australia,1
janda = jawa sunda,0
jodo nya sebas sama sama suka matcha party_popper party_popper party_popper,0
judulnya ambigu wajah_gembira_berurai_air_mata kalo sop janda mah oke sop daging janda wajah_gembira_berurai_air_mata,0
ngiler banget liatnya kayaknya enak banget dah gorengannya juga menarik ngiler,1
kak daftar disni bukan janji manis doang g a rud a ho k i ,1
ga ru da ho ki꧂daftarr aja dulu,1
mantap,0
sebas bencong atau playboy,0
bener bgt si sumpah h a u s w i n 138,1
request makan seafood bang bara,0
ban te ng ho ki member baru pasti jepe hati_kuning,1
thumbnail gonta ganti terus knapa sih bas,0
ga ru da ho ki menang lebih mudah hati_merah langsung jepe,1
ga ru da ho ki꧂sponsor resmi garuda,1
tolongg naikin gaji editor,0
uenak sekali ini,0
PST0T099 gampang banget nyari di google wajah_menahan_air_mata,1
ga ru da ho ki꧂lisensi web terbaik,1
asik ada ka grace udah lucu cntik baik lagieh bru kli ini aku ngerasa jdi nyamuk hm moai,0
orang ke 3000,0
ga ru da ho ki member baru pasti jepe hati_merah,1
ga ru da ho ki꧂sponsor resmi pubg,1
asli bang liat lu makan bikin ngiler sumpah apalagi gua pecinta daging bang wajib di coba ini bang destinasi selanjutanya ini mana iga nya mantap kali bang langsung merapat aja nih,0
ga ru da ho ki꧂daftarr aja dulu,1
hati_merah mini 1221 hati_merah enak banget feel nya—ringan responsif dan deg degan seru wajib coba roket,1
0 28 kasihan kak sebas bokeknya gak ke gw cuman kamu semoga dompetnya kak sebas mengandung,0
mantap bang,0
wow itu sedappp syekali jadi ngiler,0
harga segitu gw cuma bisa makan hanya sebulan sekali njirr kalau lebih mahal mah gw pindah haluan,0
ga ru da ho ki꧂member baru pasti jepee,1
“yang lain cuma janji gelora4d kasih bukti—gacor tiap hari ”,1
aduuh ada kecombrangnya wajah_pusing_karena_mabuk padahal mantap banget keliatannya,0
gw yg makan daging rusa sambil nnton bilek kapan ya aku bisa makan makanan itu wajah_menangis,0
musim hujan liat ginian ngiler ngiler wajah_tersenyum_lebar_dan_berkeringat,0
ga ru da ho ki꧂daftarr aja dulu,1
chat mantan bang,0
yah tuhan bass,0
bang rahang tunanya enak banget bikin ngiler the best hati_merah,1
sop jandanya sih calm tapi rawitnya itu lho brutal banget wajah_menangis_keras semangka bbca4d tegangan_tinggi muncul dulu,0
sumpah kak grace mirip banget sama orang yang kusuka cara bicara dan lain lain mirip banget,1
menyalaaaa h a u s w i n 138 akuu ,1
jempol_ke_atas jempol_ke_atas jempol_ke_atas lambang_tanduk,0
ban te ng ho ki member baru pasti jepe hati_kuning,1
ga ru da ho ki꧂ingin wd main disini,1
9 02 loh itu dibelakang orang indo ya moai,0
1 menit pertama,0
lalatnya ganggu yh bg tertawa_terbahak bahak tertawa_terbahak bahak,0
terpopuler ga ru da ho ki member baru pasti jepee hati_merah,1
seger banget liat nya mana disini lagi hujan habis hujan hujanan dingin banget bikin laper,1
klo collab seumur hidup jga bisa kayak nya bas,0
buat kalian yg gk tau skrg tanboy kun sudah ada dubbing bahasa inggris loh,0
kak daftar disni bukan janji manis doang g a rud a ho k i ,1
alhamdulillah mukbang yg sangat nikmat banget salam sehat selalu aamiin yra tangan_diangkat_dan_dirapatkan_bersama,1
sop janda yg udah bukan janda wajah_gembira_berurai_air_mata,0
gara gara liat orang nyebut Roma4d gue jadi penasaran pengen cari di google wajah_tersenyum_lebar_dan_berkeringat,1
ga ru da ho ki member baru pasti jepe hati_merah,1
enakan di gerus cabe ny dri pd geluntungan,0
ga ru da ho ki menang lebih mudah hati_merah langsung jepe,1
"judulnya serem amat "" sop daging janda"" wajah_gembira_berurai_air_mata wajah_gembira_berurai_air_mata",0
ga ru da ho ki꧂terpopuler masakini,1
gilaa bastie satu ini kena angin australia langsung bikin mantan pengen balik,0
ga ru da ho ki꧂member baru pasti jepee,1
omg the way you eat pls learn some manners bro,0
sebelum ribuan ko sebas wajah_gembira_berurai_air_mata wajah_gembira_berurai_air_mata wajah_gembira_berurai_air_mata wajah_gembira_berurai_air_mata party_popper party_popper,0
p,0
bisa gak sih diem dikit gemesnya nyerang banget kayak notif saldo masuk nilai_seratus PSTOTO99 tertawa_terbahak bahak telepon_masuk,0
ga ru da ho ki꧂daftarr aja dulu,1
udah 5xjp diga ru da ho ki tapi gapernah modal gede wajah_dengan_tangan_menutup_mulut,1
ga ru da ho ki꧂dijamin profit,1
"im sorry but u eat so disgustingly bro ur so called "" spoiled indian kid"" friend also looked uncomfortable lol and the way u kept mentioning his ethnicity was so uncalled for i hope you' ll eventually learn to be more respectful to people and i hope u read these comments that are criticizing u be better",1
gk telat cuy,0
"ga berisik ga koar"" salut h a u s w i n 138 berkilau",1
ga ru da ho ki꧂lisensi web terbaik,1
bikin laper bae lu bang wajah_tersenyum_lebar_dan_berkeringat,0
cobaa 24 jam makan menu reddog bass nanti kusuruh sekeluarga suscribe hahaha,0
seru banget collab yang ini bas kayak vibe nya bisa ngimbangin banget cwocok poll harus sering collab,1
kak daftar disni bukan janji manis doang g a rud a ho k i ,1
ga ru da ho ki꧂lisensi web terbaik,1
udah bang udah ngiler banget ngiler ngiler,1
 garuda hoki member bru psti jp,0
pas nonton ini air liurku tak tertahankan mengalir deras,0
ga ru da ho ki꧂banyak yang wd,1
sempurna bgttt sih_ h a u s w i n 138,1
memang tbk ahli salah satu resep nya sop janda memang cuka segabrek2,0
halo bang wajah_gembira_dengan_mata_bahagia,0
sepiring aja wajah_gembira_dengan_mata_bahagia,0
p ydh,0
ga ru da ho ki member baru pasti jepe hati_merah,1
ga ru da ho ki꧂gacorr parahh,1
nostalgia bgt liatnya njir dlu gw stiap abis gajian sebulan hampir 2x pasti lgsg mkan ksana gabakalan nyesel,0
ga ru da ho ki꧂sponsor resmi pubg,1
kok kamu tambah ganteng ya bas,0
cuman mo bilang makasih udh ngasih tauga ru da ho ki gua jp wajah_kucing_memberikan_ciuman_dengan_mata_tertutup api,1
"main santai menang nyata cuma di"" ikan_tropis ♩ arwanatoto tangan_terkepal_ke_depan panda &quot",1
pemain mana njir ga kenal h a u s w i n 138 berkilau,1
emang kenapa kalo pake qris harus banget cash pake dompet,1
bener bgt si sumpah h a u s w i n 138,1
"request bertahun"" akhirnya wajah_tersenyum_lebar_dan_berkeringat wajah_tersenyum_lebar_dan_berkeringat",0
makyuss,0
20jt subs harus ke india si bang wajah_tersenyum_lebar_dan_berkeringat,0
estetik banget sih beneran p u l a u w i n vibes,1
icibos,0
bang makan usus sapi lagi dong,0
wuih hati_merah mini 1221 hati_merah halus banget ui/ux on point tiap detik bikin greget wajib test dart,1
terpopuler ga ru da ho ki member baru pasti jepee hati_merah,1
padahal baru saja makan lihat bang bara makan jadi laper lagi wajah_tersenyum_dengan_mata_bahagia,0
heran dimana mana ada puiau777,0
cindo sejati apa2 di hitung,0
bang gua kelupaan nonton channel lu berbulan bulan karna sibuk push rank moai,0
ga ru da ho ki꧂lisensi web terbaik,1
bisa nggak sih kalau makan jangan ceplak gituh,0
ga ru da ho ki꧂member baru pasti jepee,1
ga ru da ho ki꧂sponsor resmi pubg,1
koko buat konten keliling dunia tapi di pesawat doang selama 4 hari koko,0
bang mukbang tahu bulat 50pcs ama sotong 50pcs,0
menunya selalu enak banget sampe bikin ngiler selamat kmn,1
ngeri jugak ketua kuu_garuda hoki,0
""" jp terus tiap malam fix doyokjp tempat main paling cuan sekarang &quot",1
semoga tanboy kun mengirimkan saya hadiah natal party_popper wajah_tersenyum_lebar_dan_berkeringat,0
ga ru da ho ki terpopuler masakini hati_merah langsung jepe,1
gampang banget merasakan wd di 【﻿çärì ðì gööglè 】 【﻿lazadatoto 】 api api,1
konten sampah ta iki ngelek elek arek suroboyo ae mangan raono adab e,0
23 59 rp 2 611 000 bastieee,0
